index,name,shape_name,rho,energy_ratio,separation,repeat,solver_mode,ndiv,dt,tend,input,output
1,ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,3.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run01_impulse_noproj/multiple_body_complete.dat
2,ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,3.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run02_impulse_noproj/multiple_body_complete.dat
3,ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,5.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run01_impulse_noproj/multiple_body_complete.dat
4,ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,5.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run02_impulse_noproj/multiple_body_complete.dat
5,ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,8.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run01_impulse_noproj/multiple_body_complete.dat
6,ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,8.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run02_impulse_noproj/multiple_body_complete.dat
7,ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,11.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run01_impulse_noproj/multiple_body_complete.dat
8,ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,11.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run02_impulse_noproj/multiple_body_complete.dat
9,ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,3.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run01_impulse_noproj/multiple_body_complete.dat
10,ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,3.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run02_impulse_noproj/multiple_body_complete.dat
