index,name,shape_name,rho,energy_ratio,separation,repeat,solver_mode,ndiv,dt,tend,input,output
1,spheroid_1_0p7_0p7_rho10_E0p2_sep3_run01_impulse_noproj,spheroid_1_0p7_0p7,10.0,0.2,3.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep3_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep3_run01_impulse_noproj/multiple_body_complete.dat
2,spheroid_1_0p7_0p7_rho10_E0p2_sep3_run02_impulse_noproj,spheroid_1_0p7_0p7,10.0,0.2,3.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep3_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep3_run02_impulse_noproj/multiple_body_complete.dat
3,spheroid_1_0p7_0p7_rho10_E0p2_sep3_run03_impulse_noproj,spheroid_1_0p7_0p7,10.0,0.2,3.0,3,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep3_run03_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep3_run03_impulse_noproj/multiple_body_complete.dat
4,spheroid_1_0p7_0p7_rho10_E0p2_sep3_run04_impulse_noproj,spheroid_1_0p7_0p7,10.0,0.2,3.0,4,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep3_run04_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep3_run04_impulse_noproj/multiple_body_complete.dat
5,spheroid_1_0p7_0p7_rho10_E0p2_sep3_run05_impulse_noproj,spheroid_1_0p7_0p7,10.0,0.2,3.0,5,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep3_run05_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep3_run05_impulse_noproj/multiple_body_complete.dat
6,spheroid_1_0p7_0p7_rho10_E0p2_sep5_run01_impulse_noproj,spheroid_1_0p7_0p7,10.0,0.2,5.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep5_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep5_run01_impulse_noproj/multiple_body_complete.dat
7,spheroid_1_0p7_0p7_rho10_E0p2_sep5_run02_impulse_noproj,spheroid_1_0p7_0p7,10.0,0.2,5.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep5_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep5_run02_impulse_noproj/multiple_body_complete.dat
8,spheroid_1_0p7_0p7_rho10_E0p2_sep5_run03_impulse_noproj,spheroid_1_0p7_0p7,10.0,0.2,5.0,3,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep5_run03_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep5_run03_impulse_noproj/multiple_body_complete.dat
9,spheroid_1_0p7_0p7_rho10_E0p2_sep5_run04_impulse_noproj,spheroid_1_0p7_0p7,10.0,0.2,5.0,4,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep5_run04_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep5_run04_impulse_noproj/multiple_body_complete.dat
10,spheroid_1_0p7_0p7_rho10_E0p2_sep5_run05_impulse_noproj,spheroid_1_0p7_0p7,10.0,0.2,5.0,5,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep5_run05_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/spheroid_1_0p7_0p7/spheroid_1_0p7_0p7_rho10_E0p2_sep5_run05_impulse_noproj/multiple_body_complete.dat
